STATION,DATE,avg(TEMP)
7630,20130522,13.5125000000
7630,20130523,12.7250000000
7630,20130524,9.3875000000
7630,20130525,10.8750000000
7630,20130526,12.3500000000
7630,20130527,13.8625000000
7630,20130528,11.6250000000
7630,20130529,10.3250000000
7630,20130530,11.2375000000
7630,20130531,11.2000000000
7643,20130501,14.8125000000
7643,20130502,14.4000000000
7643,20130503,17.2750000000
7643,20130504,16.5250000000
7643,20130505,17.0125000000
7643,20130506,17.7125000000
7643,20130507,19.2625000000
7643,20130508,17.9000000000
7643,20130509,19.0250000000
7643,20130510,18.5750000000
7643,20130511,16.8500000000
7643,20130512,16.8625000000
7643,20130513,17.9500000000
7643,20130514,16.9875000000
7643,20130515,15.4125000000
7643,20130516,13.5125000000
7643,20130517,13.6250000000
7643,20130518,15.7625000000
7643,20130519,14.9125000000
7643,20130520,14.9250000000
7643,20130521,14.8500000000
7643,20130522,18.4750000000
7643,20130523,16.7125000000
7643,20130524,13.2000000000
7643,20130525,13.1750000000
7643,20130526,13.8000000000
7643,20130527,14.3125000000
7643,20130528,13.6625000000
7643,20130529,13.0875000000
7643,20130530,15.2625000000
7643,20130531,11.6000000000
7650,20130501,16.1375000000
7650,20130502,15.2000000000
7650,20130503,16.5750000000
7650,20130504,17.2250000000
7650,20130505,15.2125000000
7650,20130506,17.9750000000
7650,20130507,17.6750000000
7650,20130508,17.9375000000
7650,20130509,19.1500000000
7650,20130510,18.0000000000
7650,20130511,17.1250000000
7650,20130512,16.8375000000
7650,20130513,17.5125000000
7650,20130514,16.9250000000
7650,20130515,17.4000000000
7650,20130516,14.8625000000
7650,20130517,13.9000000000
7650,20130518,14.3875000000
7650,20130519,15.2000000000
7650,20130520,14.3125000000
7650,20130521,15.4750000000
7650,20130522,16.4000000000
7650,20130523,15.7125000000
7650,20130524,12.8125000000
7650,20130525,12.9875000000
7650,20130526,14.6375000000
7650,20130527,14.2625000000
7650,20130528,13.8500000000
7650,20130529,13.1125000000
7650,20130530,14.4500000000
7650,20130531,12.8000000000
7661,20130501,15.9125000000
7661,20130502,16.2125000000
7661,20130503,15.7250000000
7661,20130504,15.9875000000
7661,20130505,15.5000000000
7661,20130506,17.0625000000
7661,20130507,18.7250000000
7661,20130508,17.1375000000
7661,20130509,17.7125000000
7661,20130510,18.2500000000
7661,20130511,16.2875000000
7661,20130512,16.8125000000
7661,20130513,16.9000000000
7661,20130514,16.3750000000
7661,20130515,15.7000000000
7661,20130516,14.1875000000
7661,20130517,14.2750000000
7661,20130518,13.6625000000
7661,20130519,14.5250000000
7661,20130520,14.7250000000
7661,20130521,14.7625000000
7661,20130522,16.9000000000
7661,20130523,16.0250000000
7661,20130524,12.5625000000
7661,20130525,12.6375000000
7661,20130526,13.8000000000
7661,20130527,13.9375000000
7661,20130528,12.7375000000
7661,20130529,12.4875000000
7661,20130530,13.6875000000
7661,20130531,12.5000000000
7690,20130501,18.0750000000
7690,20130502,17.1625000000
7690,20130503,16.5000000000
7690,20130504,16.0000000000
7690,20130505,16.6750000000
7690,20130506,17.0250000000
7690,20130507,16.9500000000
7690,20130508,17.9875000000
7690,20130509,18.2750000000
7690,20130510,18.8000000000
7690,20130511,18.1125000000
7690,20130512,17.9750000000
7690,20130513,17.7000000000
7690,20130514,17.1625000000
7690,20130515,17.7250000000
7690,20130516,15.1625000000
7690,20130517,14.9250000000
7690,20130518,13.2000000000
7690,20130519,13.9375000000
7690,20130520,15.3500000000
7690,20130521,15.0875000000
7690,20130522,15.1875000000
7690,20130523,17.5375000000
7690,20130524,15.6500000000
7690,20130525,13.9875000000
7690,20130526,14.6750000000
7690,20130527,14.8250000000
7690,20130528,15.7125000000
7690,20130529,15.6375000000
7690,20130530,14.4375000000
7690,20130531,12.6000000000
7747,20130501,13.5500000000
7747,20130502,13.9000000000
7747,20130503,15.5857142857
7747,20130504,17.4500000000
7747,20130505,18.7000000000
7747,20130506,20.1125000000
7747,20130507,20.1000000000
7747,20130508,19.0250000000
7747,20130509,18.6000000000
7747,20130510,16.0500000000
7747,20130511,15.8500000000
7747,20130512,16.3625000000
7747,20130513,17.8500000000
7747,20130514,17.4625000000
7747,20130515,15.1142857143
7747,20130516,12.9750000000
7747,20130517,13.1875000000
7747,20130518,16.5375000000
7747,20130519,13.4428571429
7747,20130520,13.8625000000
7747,20130521,15.2375000000
7747,20130522,16.7000000000
7747,20130523,16.0000000000
7747,20130524,13.0375000000
7747,20130525,12.0375000000
7747,20130526,14.0714285714
7747,20130527,13.4166666667
7747,20130528,12.7375000000
7747,20130529,13.7375000000
7747,20130530,14.4125000000
7747,20130531,14.2000000000
7761,20130501,17.7000000000
7761,20130502,17.2375000000
7761,20130503,16.5875000000
7761,20130504,15.7875000000
7761,20130505,16.0250000000
7761,20130506,15.5875000000
7761,20130507,16.6375000000
7761,20130508,17.0750000000
7761,20130509,18.1000000000
7761,20130510,18.4375000000
7761,20130511,15.7250000000
7761,20130512,15.2125000000
7761,20130513,15.3125000000
7761,20130514,16.8250000000
7761,20130515,18.3125000000
7761,20130516,17.6500000000
7761,20130517,15.4375000000
7761,20130518,15.9250000000
7761,20130519,16.5500000000
7761,20130520,15.0750000000
7761,20130521,13.9875000000
7761,20130522,15.3250000000
7761,20130523,16.7250000000
7761,20130524,15.3250000000
7761,20130525,14.4250000000
7761,20130526,14.1125000000
7761,20130527,14.0250000000
7761,20130528,15.5375000000
7761,20130529,15.5500000000
7761,20130530,15.3500000000
7761,20130531,15.4000000000
7790,20130501,16.5000000000
7790,20130502,16.6000000000
7790,20130503,16.6625000000
7790,20130504,16.6125000000
7790,20130505,16.5125000000
7790,20130506,17.0750000000
